CITY;STATE;POSTALCODE
NIAGARA FALLS;NY;14304
ALTON;NY;14413
AVON;NY;14414
BERGEN;NY;14416
BROCKPORT;NY;14420
BYRON;NY;14422
FARMINGTON;NY;14425
CHURCHVILLE;NY;14428
CLARKSON;NY;14430
DANSVILLE;NY;14437
DRESDEN;NY;14441
EAST BLOOMFIELD;NY;14443
FISHERS;NY;14453
GORHAM;NY;14461
GROVELAND;NY;14462
HALL;NY;14463
HOLLEY;NY;14470
HONEOYE FALLS;NY;14472
KENDALL;NY;14476
LAKEVILLE;NY;14480
LIMA;NY;14485
LIVONIA;NY;14487
LYONS;NY;14489
MACEDON;NY;14502
MANCHESTER;NY;14504
MENDON;NY;14506
MIDDLESEX;NY;14507
MOUNT MORRIS;NY;14510
NEWARK;NY;14513
NORTH GREECE;NY;14515
NORTH ROSE;NY;14516
OAKS CORNERS;NY;14518
ONTARIO;NY;14519
ONTARIO CENTER;NY;14520
PALMYRA;NY;14522
PAVILION;NY;14525
PERKINSVILLE;NY;14529
PERRY;NY;14530
PIFFARD;NY;14533
PITTSFORD;NY;14534
PORTAGEVILLE;NY;14536
PORT GIBSON;NY;14537
PULTNEYVILLE;NY;14538
RUSHVILLE;NY;14544
SCOTTSBURG;NY;14545
SCOTTSVILLE;NY;14546
SENECA CASTLE;NY;14547
SHORTSVILLE;NY;14548
SODUS POINT;NY;14555
SONYEA;NY;14556
SPENCERPORT;NY;14559
VICTOR;NY;14564
WARSAW;NY;14569
WATERPORT;NY;14571
WAYLAND;NY;14572
WEBSTER;NY;14580
WEST HENRIETTA;NY;14586
WILLARD;NY;14588
WOLCOTT;NY;14590
WYOMING;NY;14591
ROCHESTER;NY;14602
ROCHESTER;NY;14604
ROCHESTER;NY;14606
ROCHESTER;NY;14608
ROCHESTER;NY;14610
ROCHESTER;NY;14612
ROCHESTER;NY;14614
ROCHESTER;NY;14616
ROCHESTER;NY;14618
ROCHESTER;NY;14620
ROCHESTER;NY;14622
ROCHESTER;NY;14624
ROCHESTER;NY;14626
ROCHESTER;NY;14638
ROCHESTER;NY;14642
ROCHESTER;NY;14644
ROCHESTER;NY;14646
ROCHESTER;NY;14649
ROCHESTER;NY;14651
ROCHESTER;NY;14653
ROCHESTER;NY;14664
ROCHESTER;NY;14683
ROCHESTER;NY;14694
JAMESTOWN;NY;14701
JAMESTOWN;NY;14703
ALLEGANY;NY;14706
ALLENTOWN;NY;14707
ALMA;NY;14708
ANGELICA;NY;14709
ASHVILLE;NY;14710
BELFAST;NY;14711
BOLIVAR;NY;14715
CANEADEA;NY;14717
CASSADAGA;NY;14718
CERES;NY;14721
CHAUTAUQUA;NY;14722
CHERRY CREEK;NY;14723
CLYMER;NY;14724
CUBA;NY;14727
DEWITTVILLE;NY;14728
ELLINGTON;NY;14732
FALCONER;NY;14733
FILLMORE;NY;14735
FRANKLINVILLE;NY;14737
FREWSBURG;NY;14738
GERRY;NY;14740
GREAT VALLEY;NY;14741
GREENHURST;NY;14742
HINSDALE;NY;14743
HUME;NY;14745
KENNEDY;NY;14747
LIMESTONE;NY;14753
LITTLE GENESEE;NY;14754
LITTLE VALLEY;NY;14755
MAYVILLE;NY;14757
OLEAN;NY;14760
PANAMA;NY;14767
PORTVILLE;NY;14770
RANDOLPH;NY;14772
RUSHFORD;NY;14777
SALAMANCA;NY;14779
STEAMBURG;NY;14783
WESTFIELD;NY;14787
WESTONS MILLS;NY;14788
ALFRED STATION;NY;14803
ALPINE;NY;14805
ANDOVER;NY;14806
ARKPORT;NY;14807
ATLANTA;NY;14808
AVOCA;NY;14809
BEAVER DAMS;NY;14812
BELMONT;NY;14813
BRADFORD;NY;14815
BURDETT;NY;14818
CAMERON;NY;14819
CAMPBELL;NY;14821
CANASERAGA;NY;14822
CANISTEO;NY;14823
CHEMUNG;NY;14825
COHOCTON;NY;14826
CORNING;NY;14830
GREENWOOD;NY;14839
HECTOR;NY;14841
HIMROD;NY;14842
HORNELL;NY;14843
HORSEHEADS;NY;14845
HUNT;NY;14846
INTERLAKEN;NY;14847
ITHACA;NY;14851
ITHACA;NY;14853
JASPER;NY;14855
KANONA;NY;14856
LAKEMONT;NY;14857
LINDLEY;NY;14858
LOCKWOOD;NY;14859
MILLPORT;NY;14864
MONTOUR FALLS;NY;14865
NEWFIELD;NY;14867
ODESSA;NY;14869
PINE CITY;NY;14871
READING CENTER;NY;14876
SLATERVILLE SPRINGS;NY;14881
LANSING;NY;14882
SPENCER;NY;14883
TROUPSBURG;NY;14885
VAN ETTEN;NY;14889
WATKINS GLEN;NY;14891
WAVERLY;NY;14892
WAYNE;NY;14893
WELLSBURG;NY;14894
WHITESVILLE;NY;14897
WOODHULL;NY;14898
ELMIRA;NY;14902
ELMIRA;NY;14904
ELMIRA;NY;14925
